CountryCode,location,FirstDate,MissingDate,LastDate
COL,Colombia,3/7/2020,3/13/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/3/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/4/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/5/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/6/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/7/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/9/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/10/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/11/2020,6/19/2020
KHM,Cambodia,12/31/2019,3/14/2020,6/19/2020
CHL,Chile,3/4/2020,3/8/2020,6/19/2020
NPL,Nepal,12/31/2019,3/3/2020,6/19/2020
NPL,Nepal,12/31/2019,3/4/2020,6/19/2020
NPL,Nepal,12/31/2019,3/5/2020,6/19/2020
NPL,Nepal,12/31/2019,3/6/2020,6/19/2020
NPL,Nepal,12/31/2019,3/7/2020,6/19/2020
NPL,Nepal,12/31/2019,3/8/2020,6/19/2020
NPL,Nepal,12/31/2019,3/9/2020,6/19/2020
NPL,Nepal,12/31/2019,3/10/2020,6/19/2020
NPL,Nepal,12/31/2019,3/11/2020,6/19/2020
NPL,Nepal,12/31/2019,3/12/2020,6/19/2020
NPL,Nepal,12/31/2019,3/13/2020,6/19/2020
NPL,Nepal,12/31/2019,3/14/2020,6/19/2020
NPL,Nepal,12/31/2019,3/16/2020,6/19/2020
ZAF,South Africa,3/6/2020,3/7/2020,6/19/2020
ZAF,South Africa,3/6/2020,3/11/2020,6/19/2020
TWN,Taiwan,12/31/2019,3/5/2020,6/19/2020
TWN,Taiwan,12/31/2019,3/10/2020,6/19/2020
CRI,Costa Rica,3/7/2020,3/8/2020,6/19/2020
PRY,Paraguay,3/8/2020,3/9/2020,6/19/2020
PRY,Paraguay,3/8/2020,3/10/2020,6/19/2020
PRY,Paraguay,3/8/2020,3/12/2020,6/19/2020
PRY,Paraguay,3/8/2020,3/15/2020,6/19/2020
