"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"BGR","Europe","Bulgaria","2021-11-12","653209.0","3146.0","3504.143","26125.0","175.0","169.286","94713.887","456.163","508.093","3788.068","25.375","24.546","","6005759.0","870.822","","32795.0","4.755","","","tests performed","","6896655.0","65.18","44.7","20.801","13.272","18563.307","1.5","424.688","5.81","30.1","44.4","","","75.05"
"BFA","Africa","Burkina Faso","2021-11-10","15281.0","178.0","25.429","234.0","13.0","1.857","710.84","8.28","1.183","10.885","0.605","0.086","","","","","","","","","","","21497097.0","70.151","17.6","2.409","1.358","1703.102","43.7","269.048","2.42","1.6","23.9","11.877","","61.58"
"BFA","Africa","Burkina Faso","2021-11-11","15281.0","0.0","25.429","234.0","0.0","1.857","710.84","0.0","1.183","10.885","0.0","0.086","","","","","","","","","","","21497097.0","70.151","17.6","2.409","1.358","1703.102","43.7","269.048","2.42","1.6","23.9","11.877","","61.58"
"BFA","Africa","Burkina Faso","2021-11-12","15281.0","0.0","25.429","234.0","0.0","1.857","710.84","0.0","1.183","10.885","0.0","0.086","","","","","","","","","","","21497097.0","70.151","17.6","2.409","1.358","1703.102","43.7","269.048","2.42","1.6","23.9","11.877","","61.58"
"KHM","Asia","Cambodia","2021-11-10","119292.0","65.0","72.143","2845.0","5.0","5.429","7039.352","3.836","4.257","167.882","0.295","0.32","","","","","","","","","","","16946446.0","90.672","25.6","4.412","2.385","3645.07","","270.892","4.0","2.0","33.7","66.229","","69.82"
"KHM","Asia","Cambodia","2021-11-11","119358.0","66.0","69.714","2850.0","5.0","5.286","7043.247","3.895","4.114","168.177","0.295","0.312","","","","","","","","","","","16946446.0","90.672","25.6","4.412","2.385","3645.07","","270.892","4.0","2.0","33.7","66.229","","69.82"
"KHM","Asia","Cambodia","2021-11-12","119421.0","63.0","67.571","2856.0","6.0","5.429","7046.964","3.718","3.987","168.531","0.354","0.32","","","","","","","","","","","16946446.0","90.672","25.6","4.412","2.385","3645.07","","270.892","4.0","2.0","33.7","66.229","","69.82"
"CMR","Africa","Cameroon","2021-11-10","105719.0","1371.0","195.857","1758.0","27.0","3.857","3883.264","50.359","7.194","64.575","0.992","0.142","","","","","","","","","","","27224262.0","50.885","18.8","3.165","1.919","3364.926","23.8","244.661","7.2","","","2.735","","59.29"
"CMR","Africa","Cameroon","2021-11-11","106190.0","471.0","263.143","1770.0","12.0","5.571","3900.565","17.301","9.666","65.016","0.441","0.205","","","","","","","","","","","27224262.0","50.885","18.8","3.165","1.919","3364.926","23.8","244.661","7.2","","","2.735","","59.29"
"CAN","North America","Canada","2021-11-10","1748359.0","2657.0","2505.857","29303.0","30.0","22.0","45927.367","69.796","65.826","769.756","0.788","0.578","73495.0","47095842.0","1237.153","1.931","88211.0","2.317","35.2","0.028","tests performed","","38067913.0","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12.0","16.6","","","82.43"
