"monitor_date","county_name","state_name","region","subregion","fips","latitude","longitude","case_count_to_date","death_count_to_date","case_count","death_count","previous_monitor_date","population_year","population","source"
"5/1/2021 12:00:00 AM","Marshall County","Alabama","South","East South Central","01095","34.309564","-86.321668 ","12158","222","11","1","4/30/2021 12:00:00 AM","2019","96774","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Carroll County","Missouri","Midwest","West North Central","29033","39.427375","-93.500227 ","1032","23","1","0","4/30/2021 12:00:00 AM","2019","8679","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Stanly County","North Carolina","South","South Atlantic","37167","35.310449","-80.254374 ","7701","131","0","0","4/30/2021 12:00:00 AM","2019","62806","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Franklin County","Pennsylvania","Northeast","Middle Atlantic","42055","39.926772","-77.724521 ","14692","360","29","1","4/30/2021 12:00:00 AM","2019","155027","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Alamance County","North Carolina","South","South Atlantic","37001","36.043954","-79.400573 ","17794","264","0","0","4/30/2021 12:00:00 AM","2019","169509","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Talladega County","Alabama","South","East South Central","01121","33.369314","-86.17593 ","8173","175","6","0","4/30/2021 12:00:00 AM","2019","79978","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Warren County","Mississippi","South","East South Central","28149","32.356095","-90.852384 ","4348","119","0","0","4/30/2021 12:00:00 AM","2019","45381","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","St. Tammany Parish","Louisiana","South","West South Central","22103","30.410022","-89.951962 ","25568","520","0","0","4/30/2021 12:00:00 AM","2019","260419","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Seward County","Kansas","Midwest","West North Central","20175","37.18096","-100.855257 ","3957","41","0","0","4/30/2021 12:00:00 AM","2019","21428","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Benton County","Arkansas","South","West South Central","05007","36.337819","-94.256298 ","28802","414","34","0","4/30/2021 12:00:00 AM","2019","279141","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hillsborough County","New Hampshire","Northeast","New England","33011","42.911532","-71.723055 ","34834","623","66","0","4/30/2021 12:00:00 AM","2019","417025","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Clarke County","Alabama","South","East South Central","01025","31.685521","-87.818624 ","3502","60","0","0","4/30/2021 12:00:00 AM","2019","23622","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Menominee County","Wisconsin","Midwest","East North Central","55078","44.991304","-88.669251 ","807","11","1","0","4/30/2021 12:00:00 AM","2019","4556","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Wayne County","Michigan","Midwest","East North Central","26163","42.284664","-83.261953 ","155474","4651","635","19","4/30/2021 12:00:00 AM","2019","1749343","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Lafourche Parish","Louisiana","South","West South Central","22057","29.491992","-90.394849 ","9514","203","0","0","4/30/2021 12:00:00 AM","2019","97614","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Macon County","Illinois","Midwest","East North Central","17115","39.860237","-88.961529 ","10517","204","23","1","4/30/2021 12:00:00 AM","2019","104009","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Gentry County","Missouri","Midwest","West North Central","29075","40.208127","-94.405321 ","822","20","0","0","4/30/2021 12:00:00 AM","2019","6571","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hidalgo County","New Mexico","West","Mountain","35023","31.898052","-108.751929 ","361","9","0","0","4/30/2021 12:00:00 AM","2019","4198","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Stafford County","Kansas","Midwest","West North Central","20185","38.03563","-98.719889 ","352","9","0","0","4/30/2021 12:00:00 AM","2019","4156","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Westmoreland County","Pennsylvania","Northeast","Middle Atlantic","42129","40.311068","-79.466688 ","32705","745","56","2","4/30/2021 12:00:00 AM","2019","348899","NYTIMES-USCENSUS"
