"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"HTI","North America","Haiti","5/1/2021 12:00:00 AM","13056.000","0.000","16.000","254.000","0.000","0.429","1145.009","0.000","1.403","22.276","0.000","0.038","","","","","","","","","","","11402533.000","398.448","24.300","4.800","2.954","1653.173","23.500","430.548","6.650","2.900","23.100","22.863","","64.000"
"CHN","Asia","China","5/1/2021 12:00:00 AM","102517.000","23.000","21.429","4846.000","1.000","0.143","71.226","0.016","0.015","3.367","0.001","0.000","","","","","","","","","","","1439323774.000","147.674","38.700","10.641","5.929","15308.712","0.700","261.899","9.740","1.900","48.400","","","76.910"
"KOR","Asia","South Korea","5/1/2021 12:00:00 AM","123240.000","606.000","621.857","1833.000","2.000","2.857","2403.783","11.820","12.129","35.752","0.039","0.056","","","","","","","","","","","51269183.000","527.967","43.400","13.914","8.622","35938.374","0.200","85.998","6.800","6.200","40.900","","","83.030"
"BGR","Europe","Bulgaria","5/1/2021 12:00:00 AM","404846.000","466.000","1106.571","16444.000","45.000","83.571","58264.259","67.065","159.255","2366.573","6.476","12.027","","","","","","","","","","","6948445.000","65.180","44.700","20.801","13.272","18563.307","1.500","424.688","5.810","30.100","44.400","","","75.050"
"TTO","North America","Trinidad and Tobago","5/1/2021 12:00:00 AM","11072.000","248.000","226.429","171.000","2.000","2.000","7911.448","177.207","161.794","122.187","1.429","1.429","","","","","","","","","","","1399491.000","266.886","36.200","10.014","5.819","28763.071","","228.467","10.970","","","89.443","","73.510"
"ISR","Asia","Israel","5/1/2021 12:00:00 AM","838481.000","0.000","72.429","6363.000","0.000","1.857","96872.165","0.000","8.368","735.136","0.000","0.215","","","","","","","","","","","8655541.000","402.606","30.600","11.733","7.359","33132.320","0.500","93.320","6.740","15.400","35.400","","","82.970"
"BFA","Africa","Burkina Faso","5/1/2021 12:00:00 AM","13319.000","9.000","12.571","157.000","0.000","0.143","637.173","0.431","0.601","7.511","0.000","0.007","","","","","","","","","","","20903278.000","70.151","17.600","2.409","1.358","1703.102","43.700","269.048","2.420","1.600","23.900","11.877","","61.580"
"LIE","Europe","Liechtenstein","5/1/2021 12:00:00 AM","2936.000","10.000","10.000","57.000","0.000","0.000","76985.605","262.213","262.213","1494.612","0.000","0.000","","","","","","","","","","","38137.000","237.012","","","","","","","7.770","","","","","82.490"
"CIV","Africa","Cote d'Ivoire","5/1/2021 12:00:00 AM","46114.000","78.000","42.000","286.000","0.000","0.714","1748.181","2.957","1.592","10.842","0.000","0.027","","","","","","","","","","","26378275.000","76.399","18.700","2.933","1.582","3601.006","28.200","303.740","2.420","","","19.351","","57.780"
"AUS","Oceania","Australia","5/1/2021 12:00:00 AM","29824.000","13.000","23.000","910.000","0.000","0.000","1169.574","0.510","0.902","35.686","0.000","0.000","","","","","","","","","","","25499881.000","3.202","37.900","15.504","10.129","44648.710","0.500","107.791","5.070","13.000","16.500","","","83.440"
