"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"CHN","Asia","China","2021-04-21","102300.0","7.0","26.0","4845.0","0.0","0.0","71.075","0.005","0.018","3.366","0.0","0.0","","","","","","","","","","","1439323774.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
"COL","South America","Colombia","2021-04-19","2667136.0","14189.0","16314.143","68748.0","420.0","370.286","52417.155","278.856","320.621","1351.103","8.254","7.277","62609.0","13868449.0","272.556","1.23","77075.0","1.515","4.3","0.235","tests performed","","50882884.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COL","South America","Colombia","2021-04-20","2684101.0","16965.0","16398.143","69177.0","429.0","385.0","52750.567","333.413","322.272","1359.534","8.431","7.566","","","","","","","","","","","50882884.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COL","South America","Colombia","2021-04-21","2701313.0","17212.0","16501.714","69596.0","419.0","396.714","53088.834","338.267","324.308","1367.768","8.235","7.797","","","","","","","","","","","50882884.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COM","Africa","Comoros","2021-04-19","3819.0","0.0","4.286","146.0","0.0","0.0","4391.7","0.0","4.928","167.894","0.0","0.0","","","","","","","","","","","869595.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"COM","Africa","Comoros","2021-04-20","3820.0","1.0","3.429","146.0","0.0","0.0","4392.85","1.15","3.943","167.894","0.0","0.0","","","","","","","","","","","869595.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"COM","Africa","Comoros","2021-04-21","3822.0","2.0","2.714","146.0","0.0","0.0","4395.149","2.3","3.121","167.894","0.0","0.0","","","","","","","","","","","869595.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"COG","Africa","Congo","2021-04-19","10084.0","0.0","0.0","139.0","0.0","0.286","1827.443","0.0","0.0","25.19","0.0","0.052","","","","","","","","","","53.7","5518092.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"COG","Africa","Congo","2021-04-20","10084.0","0.0","0.0","139.0","0.0","0.286","1827.443","0.0","0.0","25.19","0.0","0.052","","","","","","","","","","","5518092.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"CRI","North America","Costa Rica","2021-04-19","230837.0","2260.0","1184.714","3099.0","28.0","11.571","45314.455","443.649","232.565","608.349","5.497","2.272","","","","","","","","","","","5094114.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CRI","North America","Costa Rica","2021-04-20","231967.0","1130.0","946.286","3104.0","5.0","8.571","45536.28","221.825","185.761","609.331","0.982","1.683","","","","","","","","","","","5094114.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CRI","North America","Costa Rica","2021-04-21","233498.0","1531.0","1165.0","3115.0","11.0","10.143","45836.823","300.543","228.695","611.49","2.159","1.991","","","","","","","","","","","5094114.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CIV","Africa","Cote d'Ivoire","2021-04-19","45570.0","10.0","49.0","274.0","0.0","0.857","1727.558","0.379","1.858","10.387","0.0","0.032","","","","","","","","","","","26378275.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"CIV","Africa","Cote d'Ivoire","2021-04-20","45614.0","44.0","49.857","275.0","1.0","0.857","1729.226","1.668","1.89","10.425","0.038","0.032","","","","","","","","","","","26378275.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"CIV","Africa","Cote d'Ivoire","2021-04-21","45697.0","83.0","44.143","277.0","2.0","0.857","1732.373","3.147","1.673","10.501","0.076","0.032","","","","","","","","","","","26378275.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"HRV","Europe","Croatia","2021-04-19","308200.0","410.0","2180.286","6601.0","39.0","38.286","75074.27","99.872","531.095","1607.934","9.5","9.326","","1703343.0","414.916","","8719.0","2.124","4.0","0.25","people tested","52.78","4105268.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
"HRV","Europe","Croatia","2021-04-20","310306.0","2106.0","2204.571","6643.0","42.0","40.714","75587.27","512.999","537.01","1618.165","10.231","9.918","9831.0","1713174.0","417.311","2.395","8664.0","2.11","","","people tested","","4105268.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
